class_id,cub_label,common_name,scientific_name_requested,match_note,mapped,Species2,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
40,Olive_sided_Flycatcher,Olive sided Flycatcher,Contopus cooperi,eBird common-name exact match after punctuation and possessive normalization,True,Contopus cooperi,Tyrannidae,Passeriformes,AVIBASE-951C150C,8.0,3.0,4.0,1.0,4.0,19.9,12.2,8.5,6.5,14.7,104.7,38.5,63.2,37.9,68.8,32.1,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial
41,Scissor_tailed_Flycatcher,Scissor tailed Flycatcher,Tyrannus forficatus,eBird common-name exact match after punctuation and possessive normalization,True,Tyrannus forficatus,Tyrannidae,Passeriformes,AVIBASE-6F65F82B,5.0,2.0,3.0,0.0,3.0,22.4,13.9,7.6,6.0,18.6,121.2,45.1,74.9,37.5,214.0,39.3,Dunning,,NO,,,Human Modified,2.0,3.0,Omnivore,Invertivore,Insessorial
42,Vermilion_Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,eBird common-name exact match after punctuation and possessive normalization,True,Pyrocephalus rubinus,Tyrannidae,Passeriformes,AVIBASE-1456993D,29.0,10.0,19.0,0.0,8.0,14.4,9.7,5.4,4.0,16.7,74.3,16.7,57.7,22.4,57.6,14.4,Dunning,,NO,,,Woodland,3.0,3.0,Carnivore,Invertivore,Insessorial
43,Yellow_bellied_Flycatcher,Yellow bellied Flycatcher,Empidonax flaviventris,eBird common-name exact match after punctuation and possessive normalization,True,Empidonax flaviventris,Tyrannidae,Passeriformes,AVIBASE-7B0669CB,35.0,4.0,7.0,24.0,4.0,12.9,8.4,5.7,3.7,17.2,66.9,15.3,48.3,24.1,52.6,11.8,Dunning,,NO,,,Forest,1.0,3.0,Carnivore,Invertivore,Insessorial
44,Frigatebird,Frigatebird,,Ambiguous common/genus label; ecology withheld pending taxonomic verification,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Northern_Fulmar,Northern Fulmar,Fulmarus glacialis,eBird common-name exact match after punctuation and possessive normalization,True,Fulmarus glacialis,Procellariidae,Procellariiformes,AVIBASE-049D9AEA,8.0,4.0,4.0,0.0,4.0,41.3,23.6,11.9,14.4,48.8,321.1,162.5,155.0,51.1,134.9,611.9,Dunning,,NO,,,Marine,3.0,3.0,Carnivore,Aquatic predator,Aquatic
46,Gadwall,Gadwall,Mareca strepera,eBird common-name exact match after punctuation and possessive normalization,True,Mareca strepera,Anatidae,Anseriformes,AVIBASE-C235A4D7,6.0,3.0,3.0,0.0,4.0,48.7,34.7,16.5,13.7,36.5,251.3,137.0,113.0,54.8,83.0,915.6,Dunning,,NO,,,Wetland,3.0,2.0,Herbivore,Herbivore aquatic,Aquatic
47,American_Goldfinch,American Goldfinch,Spinus tristis,eBird common-name exact match after punctuation and possessive normalization,True,Spinus tristis,Fringillidae,Passeriformes,AVIBASE-C9ABA616,9.0,4.0,5.0,0.0,8.0,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,Dunning,,NO,,,Forest,1.0,1.0,Herbivore,Granivore,Insessorial
48,European_Goldfinch,European Goldfinch,Carduelis carduelis,eBird common-name exact match after punctuation and possessive normalization,True,Carduelis carduelis,Fringillidae,Passeriformes,AVIBASE-1B235E00,30.0,11.0,19.0,0.0,12.0,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16.0,Dunning,,NO,,,Woodland,2.0,1.0,Herbivore,Granivore,Insessorial
49,Boat_tailed_Grackle,Boat tailed Grackle,Quiscalus major,eBird common-name exact match after punctuation and possessive normalization,True,Quiscalus major,Icteridae,Passeriformes,AVIBASE-EF47E15D,5.0,3.0,2.0,0.0,4.0,38.5,28.1,6.9,10.5,42.8,155.0,47.6,111.9,29.7,141.4,151.2,Dunning,,NO,,,Wetland,3.0,1.0,Carnivore,Omnivore,Terrestrial
